Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.141,0,100,0,84.6001,0,-9.05538,0.062166,0.0201409,-2.33,0.202095,0.158594,-11.9426
0.144,0,100,0,86.4001,0,-11.9426,0.0678672,0.066977,-0.653476,0.0712306,0.190264,-12.8352
0.147,0,100,0,88.2001,0,-12.8352,0.0806003,0.0176371,-0.414374,-0.071156,0.263813,-15.5597
0.15,0,100,0,90.0001,0,-15.5597,0.0372682,0.123739,-15.7853,-0.0217046,0.254426,-3.59206
0.153,0,100,0,91.8,0,-3.59206,0.071976,0.0733049,-0.775708,0.104474,0.363799,-10.7575
0.156,0,100,0,93.6,0,-10.7575,-0.0981608,0.106945,0.967124,-0.0680067,-0.164496,-11.588
0.159,0,100,0,95.4001,0,-11.588,-0.0188606,-0.0851867,0.229214,0.0179597,-0.162755,-11.17
0.162,0,100,0,97.2001,0,-11.17,0.118955,0.09544,0.00317689,-0.417374,0.391696,-10.6887
0.165,0,100,0,99.0001,0,-10.6887,0.0769001,0.0823395,-0.508934,-0.154563,0.324491,-9.43994
0.168,0,100,0,100.8,0,-9.43994,0.0495037,0.00226381,-0.690861,-0.104983,0.238122,-8.51879
0.171,0,100,0,102.6,0,-8.51879,0.00654299,0.0595398,-0.674604,-0.204949,0.105176,-8.67249
0.174,0,100,0,104.4,0,-8.67249,0.0369042,0.00929517,-0.798868,-0.0725873,0.223023,-7.28608
0.177,0,100,0,106.2,0,-7.28608,-0.000678424,-0.012391,-0.954874,-0.340147,0.408801,-7.75981
0.18,0,100,0,108,0,-7.75981,-0.0289085,0.00839064,-1.10612,-0.208493,0.0409599,-6.73671
0.183,0,100,0,109.8,0,-6.73671,0.00230264,-0.0111549,-1.37961,-0.204884,0.272848,-6.3972
0.186,0,100,0,111.6,0,-6.3972,0.0244191,0.0330966,-1.7411,-0.0216037,0.265584,-6.59855
0.189,0,100,0,113.4,0,-6.59855,0.0990405,-0.00652868,-1.81607,-0.285844,0.168507,-7.06476
0.192,0,100,0,115.2,0,-7.06476,0.0244711,0.0578298,-2.1689,-0.585282,0.144351,-6.95333
0.195,0,100,0,117,0,-6.95333,0.0336028,-0.00695709,-2.74793,-0.392711,-0.0348415,-6.69768
0.198,0,100,0,118.8,0,-6.69768,-0.00925204,0.0784979,-2.64177,-0.567872,0.291739,-7.26373
0.201,0,100,0,120.6,0,-7.26373,-0.0094087,-0.0645599,-2.74938,-0.208641,-0.0936639,-7.61101
0.204,0,100,0,122.4,0,-7.61101,0.0234058,0.0571019,-2.29787,-0.0424656,0.0308441,-8.14173
0.207,0,100,0,124.2,0,-8.14173,0.105331,0.0222297,-1.9593,0.367037,0.220569,-9.32625
0.21,0,100,0,126,0,-9.32625,0.00245017,0.036626,-2.01719,0.0985657,-0.380807,-9.95077
0.213,0,100,0,127.8,0,-9.95077,0.0400371,0.00227438,-1.94514,0.370679,-0.30837,-8.74982
0.216,0,100,0,129.6,0,-8.74982,0.0326928,0.0359756,-0.53642,0.32298,0.0539612,-10.9283
0.219,0,100,0,131.4,0,-10.9283,0.0310808,0.112189,1.03031,0.118078,0.150836,-12.0055
0.222,0,100,0,133.2,0,-12.0055,-0.00664706,0.0892459,0.739003,-0.163254,0.303409,-13.5252
0.225,0,100,0,135,0,-13.5252,0.0386301,0.134807,-11.4911,0.372799,0.382423,-5.38788
0.228,0,100,0,136.8,0,-5.38788,0.00860603,0.0715105,0.44604,0.0383421,0.23551,-9.95963
0.231,0,100,0,138.6,0,-9.95963,-0.0628041,0.127061,2.11868,-0.00750063,-0.0174922,-11.2361
0.234,0,100,0,140.4,0,-11.2361,-0.0318187,-0.0555251,1.66499,0.0218345,-0.334277,-10.9932
0.237,0,100,0,142.2,0,-10.9932,0.0576315,0.0479458,1.85615,-0.253143,0.244004,-11.326
0.24,0,100,0,144,0,-11.326,0.0512516,0.0678523,1.2337,0.0056805,0.234865,-9.85405
0.243,0,100,0,145.8,0,-9.85405,0.0235432,-0.0188571,1.08649,-0.0137547,0.182837,-9.41564
0.246,0,100,0,147.6,0,-9.41564,-0.0254385,0.0815474,1.02713,-0.280911,0.190501,-9.65426
0.249,0,100,0,149.4,0,-9.65426,-0.0337025,0.0067277,0.851296,-0.154594,0.0047581,-8.42597
0.252,0,100,0,151.2,0,-8.42597,-0.0379447,0.010037,1.00184,-0.351419,0.353403,-9.22034
0.255,0,100,0,153,0,-9.22034,-0.0772704,-0.0147108,1.05597,-0.33531,-0.141238,-8.88294
0.258,0,100,0,154.8,0,-8.88294,0.011119,-0.0404947,0.359552,0.243023,0.0972075,-7.98335
0.261,0,100,0,156.6,0,-7.98335,0.0603024,0.0886337,0.340481,0.373307,0.31265,-8.83585
0.264,0,100,0,158.4,0,-8.83585,0.0891581,-0.0232606,0.139642,0.00576853,0.0341578,-9.14381
0.267,0,100,0,160.2,0,-9.14381,0.0210906,-0.0687077,-0.386831,-0.304479,-0.150818,-9.04102
0.27,0,100,0,162,0,-9.04102,0.0769137,-0.0122823,-0.863682,-0.17445,-0.108617,-9.22396
