Time_s,HydraulicForceZ_dyne,Fz_uN
0.6330,1.7382,17.382
0.6360,1.75901,17.5901
0.6390,1.62564,16.2564
0.6420,1.65739,16.5739
0.6450,1.57544,15.7544
0.6480,1.55229,15.5229
0.6510,1.4075,14.075
0.6540,1.4718,14.718
0.6570,1.25412,12.5412
0.6600,1.14835,11.4835
0.6630,0.931787,9.31787
0.6660,0.84652,8.4652
0.6690,0.858729,8.58729
0.6720,0.717333,7.17333
0.6750,0.683616,6.83616
0.6780,0.579686,5.79686
0.6810,0.814188,8.14188
0.6840,0.653867,6.53867
0.6870,0.765299,7.65299
0.6900,0.670341,6.70341
0.6930,0.634612,6.34612
0.6960,0.526455,5.26455
0.6990,0.612007,6.12007
0.7020,0.627576,6.27576
0.7050,0.749666,7.49666
0.7080,0.61466,6.1466
0.7110,0.504043,5.04043
0.7140,0.522688,5.22688
0.7170,0.752267,7.52267
0.7200,0.881991,8.81991
0.7230,0.804604,8.04604
0.7260,0.773612,7.73612
0.7290,0.843647,8.43647
0.7320,0.91406,9.1406
0.7350,0.877016,8.77016
0.7380,0.888838,8.88838
0.7410,0.869833,8.69833
0.7440,0.843915,8.43915
0.7470,1.33659,13.3659
0.7500,1.37977,13.7977
0.7530,1.53154,15.3154
0.7560,1.59775,15.9775
0.7590,1.55941,15.5941
0.7620,1.66092,16.6092
0.7650,1.97247,19.7247
0.7680,1.8466,18.466
0.7710,2.28252,22.8252
0.7740,2.55019,25.5019
0.7770,3.07106,30.7106
0.7800,2.71439,27.1439
0.7830,2.91975,29.1975
0.7860,2.63237,26.3237
0.7890,2.43009,24.3009
0.7920,1.87051,18.7051
0.7950,1.74353,17.4353
0.7980,1.40509,14.0509
0.8010,1.16024,11.6024
0.8040,1.17433,11.7433
0.8070,1.23731,12.3731
0.8100,1.13954,11.3954
0.8130,1.59084,15.9084
0.8160,1.56149,15.6149
0.8190,1.42693,14.2693
0.8220,1.39207,13.9207
0.8250,1.46831,14.6831
0.8280,1.54627,15.4627
0.8310,1.17485,11.7485
0.8340,1.53299,15.3299
0.8370,1.33688,13.3688
0.8400,1.36025,13.6025
0.8430,1.25547,12.5547
0.8460,1.23619,12.3619
0.8490,1.29197,12.9197
0.8520,1.13468,11.3468
0.8550,1.4136,14.136
0.8580,1.27824,12.7824
0.8610,1.13623,11.3623
0.8640,0.939078,9.39078
0.8670,0.909358,9.09358
0.8700,0.873585,8.73585
0.8730,0.767764,7.67764
0.8760,0.785862,7.85862
0.8790,0.66232,6.6232
0.8820,0.930671,9.30671
0.8850,0.934219,9.34219
0.8880,0.953096,9.53096
0.8910,0.963605,9.63605
0.8940,0.902531,9.02531
0.8970,0.852685,8.52685
0.9000,0.751368,7.51368
0.9030,0.797545,7.97545
0.9060,0.706491,7.06491
0.9090,0.81334,8.1334
0.9120,0.695647,6.95647
0.9150,0.903963,9.03963
0.9180,1.01747,10.1747
0.9210,0.952569,9.52569
0.9240,0.900282,9.00282
0.9270,1.1036,11.036
0.9300,1.19715,11.9715
0.9330,1.16535,11.6535
0.9360,1.14943,11.4943
0.9390,1.00318,10.0318
0.9420,1.0326,10.326
0.9450,1.03316,10.3316
0.9480,1.43008,14.3008
0.9510,1.45712,14.5712
0.9540,1.62616,16.2616
0.9570,1.85422,18.5422
0.9600,1.67088,16.7088
0.9630,2.09722,20.9722
0.9660,2.05616,20.5616
0.9690,2.01884,20.1884
0.9720,2.43579,24.3579
0.9750,2.9043,29.043
0.9780,2.96191,29.6191
0.9810,2.77307,27.7307
0.9840,2.60081,26.0081
0.9870,2.31286,23.1286
0.9900,1.90337,19.0337
0.9930,1.73353,17.3353
0.9960,1.28961,12.8961
0.9990,0.751749,7.51749
1.0020,0.594209,5.94209
1.0050,0.478625,4.78625
1.0080,0.4852,4.852
1.0110,0.880869,8.80869
1.0140,1.05821,10.5821
1.0170,1.16527,11.6527
1.0200,1.25463,12.5463
1.0230,1.08244,10.8244
1.0260,1.2675,12.675
1.0290,1.18442,11.8442
1.0320,1.11083,11.1083
1.0350,1.44035,14.4035
1.0380,1.34218,13.4218
1.0410,1.44066,14.4066
1.0440,1.27476,12.7476
1.0470,1.26774,12.6774
1.0500,1.17249,11.7249
1.0530,1.02247,10.2247
1.0560,0.929531,9.29531
1.0590,0.985519,9.85519
1.0620,0.939167,9.39167
1.0650,0.940885,9.40885
1.0680,0.934193,9.34193
1.0710,0.958284,9.58284
1.0740,0.740004,7.40004
1.0770,0.734491,7.34491
1.0800,0.84249,8.4249
1.0830,0.993909,9.93909
1.0860,0.83627,8.3627
1.0890,0.872237,8.72237
1.0920,0.695246,6.95246
1.0950,0.883958,8.83958
1.0980,0.7283,7.283
1.1010,0.802742,8.02742
1.1040,0.814582,8.14582
1.1070,0.822011,8.22011
1.1100,0.733447,7.33447
1.1130,0.812348,8.12348
1.1160,1.04257,10.4257
1.1190,1.22958,12.2958
1.1220,1.1282,11.282
1.1250,1.04665,10.4665
1.1280,1.18938,11.8938
1.1310,1.21439,12.1439
1.1340,1.30997,13.0997
1.1370,1.36651,13.6651
1.1400,1.21953,12.1953
1.1430,1.16383,11.6383
1.1460,1.36934,13.6934
1.1490,1.73814,17.3814
1.1520,1.7157,17.157
1.1550,1.8026,18.026
1.1580,2.12034,21.2034
1.1610,2.02563,20.2563
1.1640,2.34643,23.4643
1.1670,2.33729,23.3729
1.1700,2.34771,23.4771
1.1730,2.58351,25.8351
1.1760,2.95719,29.5719
1.1790,3.19562,31.9562
1.1820,2.94151,29.4151
1.1850,2.9117,29.117
1.1880,2.6825,26.825
1.1910,1.95576,19.5576
1.1940,1.80391,18.0391
1.1970,1.29595,12.9595
1.2000,0.529766,5.29766
