Time_s,HydraulicForceZ_dyne,Fz_uN
0.6210,2.6639,26.639
0.6240,2.44148,24.4148
0.6270,2.50453,25.0453
0.6300,2.14392,21.4392
0.6330,1.89865,18.9865
0.6360,1.73412,17.3412
0.6390,1.65092,16.5092
0.6420,1.32026,13.2026
0.6450,0.974184,9.74184
0.6480,0.943724,9.43724
0.6510,1.44764,14.4764
0.6540,2.16017,21.6017
0.6570,2.55582,25.5582
0.6600,2.81948,28.1948
0.6630,2.95304,29.5304
0.6660,3.49693,34.9693
0.6690,4.72225,47.2225
0.6720,3.52878,35.2878
0.6750,-7.68313,-76.8313
0.6780,2.11806,21.1806
0.6810,3.74727,37.4727
0.6840,3.33086,33.3086
0.6870,3.56664,35.6664
0.6900,2.69785,26.9785
0.6930,2.48287,24.8287
0.6960,2.39419,23.9419
0.6990,2.15132,21.5132
0.7020,2.41406,24.1406
0.7050,2.25665,22.5665
0.7080,1.67536,16.7536
0.7110,1.65621,16.5621
0.7140,1.45765,14.5765
0.7170,1.01719,10.1719
0.7200,0.970724,9.70724
0.7230,1.04071,10.4071
0.7260,1.30057,13.0057
0.7290,2.27125,22.7125
0.7320,2.46682,24.6682
0.7350,2.87743,28.7743
0.7380,2.65361,26.5361
0.7410,3.33493,33.3493
0.7440,4.5748,45.748
0.7470,3.44817,34.4817
0.7500,-7.76604,-77.6604
0.7530,2.08175,20.8175
0.7560,3.64105,36.4105
0.7590,3.21116,32.1116
0.7620,3.4224,34.224
0.7650,2.65445,26.5445
0.7680,2.2552,22.552
0.7710,2.30256,23.0256
0.7740,2.23426,22.3426
0.7770,2.28133,22.8133
0.7800,1.87022,18.7022
0.7830,1.7453,17.453
0.7860,1.38126,13.8126
0.7890,1.42966,14.2966
0.7920,1.00696,10.0696
0.7950,0.73035,7.3035
0.7980,1.03042,10.3042
0.8010,1.21793,12.1793
0.8040,2.08157,20.8157
0.8070,2.47068,24.7068
0.8100,2.626,26.26
0.8130,2.62682,26.2682
0.8160,3.19849,31.9849
0.8190,4.44009,44.4009
0.8220,3.3002,33.002
0.8250,-7.72563,-77.2563
0.8280,2.03434,20.3434
0.8310,3.52567,35.2567
0.8340,3.12787,31.2787
0.8370,3.45964,34.5964
0.8400,2.55555,25.5555
0.8430,2.37081,23.7081
0.8460,2.22812,22.2812
0.8490,2.02884,20.2884
0.8520,2.24977,22.4977
0.8550,2.09796,20.9796
0.8580,1.50532,15.0532
0.8610,1.57433,15.7433
0.8640,1.38692,13.8692
0.8670,0.922679,9.22679
0.8700,0.730909,7.30909
0.8730,0.907539,9.07539
0.8760,1.11693,11.1693
0.8790,1.99551,19.9551
0.8820,2.12319,21.2319
0.8850,2.57416,25.7416
0.8880,2.4235,24.235
0.8910,3.12488,31.2488
0.8940,4.31167,43.1167
0.8970,3.28133,32.8133
0.9000,-7.99569,-79.9569
0.9030,1.94579,19.4579
0.9060,3.55661,35.5661
0.9090,3.07544,30.7544
0.9120,3.26229,32.6229
0.9150,2.57441,25.7441
0.9180,2.28442,22.8442
0.9210,2.19401,21.9401
0.9240,2.21619,22.1619
0.9270,2.10426,21.0426
0.9300,1.87553,18.7553
0.9330,1.59017,15.9017
0.9360,1.34072,13.4072
0.9390,1.32018,13.2018
0.9420,1.08309,10.8309
0.9450,0.651727,6.51727
0.9480,0.856389,8.56389
0.9510,1.01291,10.1291
0.9540,1.97358,19.7358
0.9570,2.23429,22.3429
0.9600,2.62134,26.2134
0.9630,2.52887,25.2887
0.9660,3.06931,30.6931
0.9690,4.30397,43.0397
0.9720,3.19948,31.9948
0.9750,-7.96084,-79.6084
0.9780,1.99291,19.9291
0.9810,3.54416,35.4416
0.9840,3.10144,31.0144
0.9870,3.41242,34.1242
0.9900,2.53823,25.3823
0.9930,2.30871,23.0871
0.9960,2.22317,22.2317
0.9990,1.87956,18.7956
1.0020,2.03065,20.3065
1.0050,2.03236,20.3236
1.0080,1.42789,14.2789
1.0110,1.52211,15.2211
1.0140,1.19301,11.9301
1.0170,0.825388,8.25388
1.0200,0.598086,5.98086
1.0230,0.805477,8.05477
1.0260,0.97896,9.7896
1.0290,1.97805,19.7805
1.0320,2.08294,20.8294
1.0350,2.40764,24.0764
1.0380,2.32424,23.2424
1.0410,3.0842,30.842
1.0440,4.25541,42.5541
1.0470,3.25059,32.5059
1.0500,-8.03738,-80.3738
1.0530,1.95023,19.5023
1.0560,3.57284,35.7284
1.0590,3.12905,31.2905
1.0620,3.2583,32.583
1.0650,2.53526,25.3526
1.0680,2.19015,21.9015
1.0710,2.2399,22.399
1.0740,2.09945,20.9945
1.0770,2.05339,20.5339
