Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
78,26,0.078,0.0423876,0.0596514,-0.824887,-0.100789,0,0,0,0
79,27,0.081,0.0433835,0.0609255,-0.773948,-0.0937073,0,0,0,0
80,27,0.081,0.0442029,0.0612976,-0.787715,-0.0920131,0,0,0,0
81,27,0.081,0.044743,0.0616018,-0.800078,-0.0925294,0,0,0,0
82,28,0.084,0.0465568,0.0622048,-0.76824,-0.0845394,0,0,0,0
83,28,0.084,0.0472085,0.0623939,-0.78729,-0.0827433,0,0,0,0
84,28,0.084,0.0477124,0.0625519,-0.803762,-0.0835077,0,0,0,0
85,29,0.087,0.0490225,0.0655088,-0.788705,-0.0748693,0,0,0,0
86,29,0.087,0.0493502,0.0650326,-0.810876,-0.0732051,0,0,0,0
87,29,0.087,0.0496544,0.0646369,-0.829355,-0.0743625,0,0,0,0
88,30,0.09,0.0505382,0.067252,-0.82257,-0.069501,0,0,0,0
89,30,0.09,0.0511573,0.0672997,-0.846041,-0.0697708,0,0,0,0
90,30,0.09,0.0516729,0.0672513,-0.865034,-0.0720857,0,0,0,0
91,31,0.093,0.0529086,0.0649398,-0.867176,-0.0635555,0,0,0,0
92,31,0.093,0.053644,0.064252,-0.890423,-0.0623556,0,0,0,0
93,31,0.093,0.0542035,0.0637592,-0.908842,-0.0641786,0,0,0,0
94,32,0.096,0.0548338,0.0640171,-0.915633,-0.0606015,0,0,0,0
95,32,0.096,0.0557572,0.0634918,-0.938978,-0.0618934,0,0,0,0
96,32,0.096,0.0564948,0.0630724,-0.957003,-0.0649962,0,0,0,0
97,33,0.099,0.0572046,0.0646929,-0.968588,-0.0573905,0,0,0,0
98,33,0.099,0.0578272,0.0641869,-0.993588,-0.0569238,0,0,0,0
99,33,0.099,0.0583048,0.0637324,-1.01255,-0.0592871,0,0,0,0
100,34,0.102,0.0599448,0.0633724,-1.02188,-0.0515461,0,0,0,0
101,34,0.102,0.060875,0.062684,-1.04475,-0.0513437,0,0,0,0
102,34,0.102,0.0615942,0.0620658,-1.06225,-0.054024,0,0,0,0
103,35,0.105,0.0641014,0.0625596,-1.07052,-0.0465085,0,0,0,0
104,35,0.105,0.0650312,0.0622446,-1.09098,-0.0466355,0,0,0,0
105,35,0.105,0.0657559,0.061932,-1.10673,-0.0495927,0,0,0,0
106,36,0.108,0.0653503,0.0619977,-1.11204,-0.0485387,0,0,0,0
107,36,0.108,0.0664331,0.061102,-1.13024,-0.0513528,0,0,0,0
108,36,0.108,0.0672431,0.0603929,-1.14428,-0.0553335,0,0,0,0
109,37,0.111,0.0687096,0.059073,-1.14337,-0.0509931,0,0,0,0
110,37,0.111,0.0694981,0.0583439,-1.15816,-0.0521176,0,0,0,0
111,37,0.111,0.0701271,0.0577622,-1.1698,-0.0552271,0,0,0,0
112,38,0.114,0.0702617,0.0583825,-1.16456,-0.0494748,0,0,0,0
113,38,0.114,0.0708214,0.0579258,-1.17719,-0.050026,0,0,0,0
114,38,0.114,0.0712531,0.0575277,-1.18716,-0.0528815,0,0,0,0
115,39,0.117,0.0713571,0.0565251,-1.17475,-0.0544752,0,0,0,0
116,39,0.117,0.0723761,0.0560017,-1.18558,-0.0581251,0,0,0,0
117,39,0.117,0.0731417,0.0555659,-1.19422,-0.0620825,0,0,0,0
118,40,0.12,0.0729733,0.054928,-1.17975,-0.0598855,0,0,0,0
119,40,0.12,0.0734521,0.0545784,-1.18972,-0.0614224,0,0,0,0
120,40,0.12,0.0738456,0.0542874,-1.19756,-0.0641337,0,0,0,0
121,41,0.123,0.0731527,0.0580746,-1.179,-0.0621748,0,0,0,0
122,41,0.123,0.0735612,0.0575855,-1.18632,-0.0638838,0,0,0,0
123,41,0.123,0.0738673,0.0571354,-1.19234,-0.0666422,0,0,0,0
124,42,0.126,0.0736363,0.0584891,-1.17058,-0.0639797,0,0,0,0
125,42,0.126,0.0737935,0.0586301,-1.17744,-0.0653326,0,0,0,0
126,42,0.126,0.073941,0.0587127,-1.18303,-0.0677925,0,0,0,0
127,43,0.129,0.0736389,0.0610506,-1.15687,-0.0654967,0,0,0,0
128,43,0.129,0.0740643,0.0612092,-1.16373,-0.0667221,0,0,0,0
129,43,0.129,0.0743691,0.0613077,-1.1691,-0.0689149,0,0,0,0
130,44,0.132,0.0742337,0.0603914,-1.13696,-0.0650334,0,0,0,0
131,44,0.132,0.0741581,0.0600636,-1.14237,-0.0656063,0,0,0,0
132,44,0.132,0.0741139,0.0598045,-1.14668,-0.0674912,0,0,0,0
133,45,0.135,0.072729,0.0642036,-1.09868,-0.0644327,0,0,0,0
134,45,0.135,0.0724206,0.0646438,-1.1047,-0.0654983,0,0,0,0
135,45,0.135,0.0722082,0.064971,-1.10924,-0.0676168,0,0,0,0
136,46,0.138,0.0715622,0.0674294,-1.04709,-0.0658746,0,0,0,0
137,46,0.138,0.0715476,0.0674942,-1.0526,-0.0680785,0,0,0,0
138,46,0.138,0.0715057,0.0675636,-1.05664,-0.0707074,0,0,0,0
139,47,0.141,0.0695434,0.0670578,-0.993061,-0.0646214,0,0,0,0
140,47,0.141,0.0692268,0.0669958,-0.99621,-0.0648619,0,0,0,0
141,47,0.141,0.0689669,0.0669348,-0.997814,-0.0668376,0,0,0,0
142,48,0.144,0.0674228,0.070399,-0.91797,-0.0653175,0,0,0,0
143,48,0.144,0.0676118,0.0701098,-0.916613,-0.0676392,0,0,0,0
144,48,0.144,0.0677322,0.0699088,-0.914595,-0.0705616,0,0,0,0
145,49,0.147,0.0650624,0.0698982,-0.828246,-0.0703339,0,0,0,0
