Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.144,0,100,0,86.4001,0,-37.9925,0.0664763,-0.0817386,0.230479,0.104432,0.341543,-37.8044
0.147,0,100,0,88.2001,0,-37.8044,0.131,-0.0816792,0.130478,0.760944,-0.227991,-37.3094
0.15,0,100,0,90.0001,0,-37.3094,0.0172259,-0.0282314,0.285655,0.924827,-0.135582,-39.0574
0.153,0,100,0,91.8,0,-39.0574,-0.00647811,0.152493,0.74245,-0.00551242,0.584578,-37.6561
0.156,0,100,0,93.6,0,-37.6561,0.150095,0.304808,0.487795,-0.952117,0.985143,-39.384
0.159,0,100,0,95.4001,0,-39.384,0.0253959,0.147596,0.35188,-0.823982,0.872957,-39.2256
0.162,0,100,0,97.2001,0,-39.2256,-0.158847,0.13222,1.95098,-2.00566,0.284486,-40.2861
0.165,0,100,0,99.0001,0,-40.2861,-0.179037,0.178131,0.949613,-0.20005,0.310805,-39.8015
0.168,0,100,0,100.8,0,-39.8015,-0.0321326,0.063899,1.65642,0.50926,0.626976,-43.3941
0.171,0,100,0,102.6,0,-43.3941,0.280075,0.701589,7.69812,-0.638451,1.4507,-51.2191
0.174,0,100,0,104.4,0,-51.2191,-0.0546681,0.115229,0.878125,-0.643619,0.334942,-31.2728
0.177,0,100,0,106.2,0,-31.2728,0.282606,0.0731583,2.32734,0.374748,0.511617,-31.2311
0.18,0,100,0,108,0,-31.2311,0.0546078,0.0542318,2.14415,0.48416,0.686642,-31.574
0.183,0,100,0,109.8,0,-31.574,0.241945,0.00935911,1.50871,0.0256702,0.701052,-31.4077
0.186,0,100,0,111.6,0,-31.4077,0.030775,0.247247,0.897268,-1.22475,0.307776,-32.8024
0.189,0,100,0,113.4,0,-32.8024,0.104744,0.0970404,1.07127,-0.919422,0.536716,-33.5063
0.192,0,100,0,115.2,0,-33.5063,-0.120829,0.0872679,0.349936,-0.461498,-0.157771,-35.7406
0.195,0,100,0,117,0,-35.7406,0.0514254,0.154418,1.87219,0.269362,-0.547512,-36.2164
0.198,0,100,0,118.8,0,-36.2164,0.178449,0.166206,2.55515,0.0955903,0.279534,-38.7409
0.201,0,100,0,120.6,0,-38.7409,0.128713,0.308425,1.45588,-1.44535,1.74094,-38.8253
0.204,0,100,0,122.4,0,-38.8253,0.0815983,0.00664729,2.30605,-0.314221,-0.338687,-38.1263
0.207,0,100,0,124.2,0,-38.1263,-0.0692127,0.0771122,2.80587,-0.855416,-0.173579,-38.596
0.21,0,100,0,126,0,-38.596,-0.00674223,0.0163795,2.1296,0.750836,0.725808,-40.1012
0.213,0,100,0,127.8,0,-40.1012,0.0279974,0.113753,0.255526,1.48498,2.3361,-30.6989
0.216,0,100,0,129.6,0,-30.6989,-0.11371,0.129381,1.32216,0.0535424,0.184568,-31.2016
0.219,0,100,0,131.4,0,-31.2016,-0.0360098,0.176713,2.27056,-0.748051,0.420333,-29.1388
0.222,0,100,0,133.2,0,-29.1388,-0.0171094,0.0860795,3.22129,0.241383,-0.232866,-30.2322
0.225,0,100,0,135,0,-30.2322,-0.0345984,-0.107164,0.981976,-0.309071,-0.0981987,-28.0405
0.228,0,100,0,136.8,0,-28.0405,-0.0840511,0.0777355,2.3674,-0.480813,-0.371137,-31.2642
0.231,0,100,0,138.6,0,-31.2642,-0.0504013,0.103114,1.71595,-0.180822,-0.430975,-32.2222
0.234,0,100,0,140.4,0,-32.2222,0.201998,0.231043,1.61955,-0.392792,1.44754,-33.867
0.237,0,100,0,142.2,0,-33.867,0.00753572,-0.0141804,1.42664,-0.422368,0.144105,-34.0617
0.24,0,100,0,144,0,-34.0617,-0.155504,0.135702,3.09202,-1.07352,-0.997812,-38.02
0.243,0,100,0,145.8,0,-38.02,0.0319144,0.241287,2.27192,-1.0516,-0.0597375,-37.9303
0.246,0,100,0,147.6,0,-37.9303,0.0246993,0.133872,3.32344,-0.840124,1.10095,-43.178
0.249,0,100,0,149.4,0,-43.178,-0.0817839,-0.0903945,3.606,1.05213,0.303106,-41.382
0.252,0,100,0,151.2,0,-41.382,-0.000190904,0.207061,2.35137,0.404084,1.47009,-43.1323
0.255,0,100,0,153,0,-43.1323,0.00696547,0.0400369,3.10123,1.5554,2.45514,-40.2119
0.258,0,100,0,154.8,0,-40.2119,-0.243725,-0.0376631,1.82438,0.388255,-2.53996,-36.3079
0.261,0,100,0,156.6,0,-36.3079,0.102027,0.0464285,3.92209,0.473312,0.414836,-35.4628
0.264,0,100,0,158.4,0,-35.4628,-0.0378259,-0.267587,3.10367,1.37137,-1.42574,-30.4381
0.267,0,100,0,160.2,0,-30.4381,-0.0792362,0.0449945,2.40503,-0.304864,0.0327134,-29.3333
0.27,0,100,0,162,0,-29.3333,0.0532773,0.0627258,2.31271,-0.235928,0.847763,-30.1694
0.273,0,100,0,163.8,0,-30.1694,0.139587,-0.123823,1.04359,0.569232,-0.183333,-30.1938
0.276,0,100,0,165.6,0,-30.1938,0.0191107,0.141885,1.04807,-0.545155,0.738919,-32.2522
0.279,0,100,0,167.4,0,-32.2522,-0.109204,-0.034633,1.48344,-0.0320262,0.55412,-33.66
0.282,0,100,0,169.2,0,-33.66,-0.106244,0.326121,2.12397,-0.0437905,-0.492372,-35.7276
0.285,0,100,0,171,0,-35.7276,-0.0155636,0.144014,2.5929,-2.24648,0.0817398,-40.0249
0.288,0,100,0,172.8,0,-40.0249,0.242786,0.010957,2.02106,-0.230339,2.20476,-38.7153
0.291,0,100,0,174.6,0,-38.7153,-0.0791892,0.174085,4.68619,-1.4402,0.541406,-43.0384
0.294,0,100,0,176.4,0,-43.0384,-0.0655597,-0.0263841,2.90301,0.353368,0.290308,-41.626
0.297,0,100,0,178.2,0,-41.626,-0.0694736,0.144627,4.60918,-0.224912,1.14629,-46.6995
0.3,0,100,0,180,0,-46.6995,0.423204,0.312014,14.7226,2.10877,1.48051,-63.2555
0.303,0,100,0,181.8,0,-63.2555,-0.00634922,0.018108,2.53135,0.360436,0.585173,-33.5061
0.306,0,100,0,183.6,0,-33.5061,0.0762504,-0.13897,2.94337,-0.190773,-0.950538,-31.8848
