Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
80,27,0.081,0.109831,0.167221,-2.96036,-0.0476791,0,0,0,0
81,27,0.081,0.10785,0.168693,-2.96468,-0.046262,0,0,0,0
82,28,0.084,0.106124,0.171206,-2.96948,-0.0407323,0,0,0,0
83,28,0.084,0.104226,0.172727,-2.97224,-0.0368945,0,0,0,0
84,28,0.084,0.102376,0.173489,-2.97443,-0.0341922,0,0,0,0
85,29,0.087,0.10253,0.172326,-2.97816,-0.037679,0,0,0,0
86,29,0.087,0.101282,0.171116,-2.97978,-0.0382392,0,0,0,0
87,29,0.087,0.0999126,0.16992,-2.98095,-0.0377228,0,0,0,0
88,30,0.09,0.0992617,0.171811,-2.98207,-0.0313834,0,0,0,0
89,30,0.09,0.0979906,0.172376,-2.98196,-0.0271916,0,0,0,0
90,30,0.09,0.0966403,0.172431,-2.98185,-0.0243813,0,0,0,0
91,31,0.093,0.0927566,0.1724,-2.97979,-0.0252037,0,0,0,0
92,31,0.093,0.0898103,0.172613,-2.97759,-0.024869,0,0,0,0
93,31,0.093,0.0873026,0.172384,-2.97595,-0.0239625,0,0,0,0
94,32,0.096,0.0823191,0.172704,-2.97129,-0.0206411,0,0,0,0
95,32,0.096,0.0786764,0.17257,-2.967,-0.0176119,0,0,0,0
96,32,0.096,0.0756207,0.172115,-2.96378,-0.0153948,0,0,0,0
97,33,0.099,0.0736599,0.172971,-2.95861,-0.0153632,0,0,0,0
98,33,0.099,0.0713607,0.173001,-2.95381,-0.014294,0,0,0,0
99,33,0.099,0.0693715,0.172621,-2.95011,-0.0130479,0,0,0,0
100,34,0.102,0.0629199,0.17124,-2.94255,-0.0130061,0,0,0,0
101,34,0.102,0.0589973,0.170082,-2.93593,-0.0122234,0,0,0,0
102,34,0.102,0.0558659,0.168875,-2.93101,-0.0111564,0,0,0,0
103,35,0.105,0.0550551,0.168058,-2.92261,-0.00824854,0,0,0,0
104,35,0.105,0.0530787,0.166803,-2.91521,-0.00572886,0,0,0,0
105,35,0.105,0.0513773,0.165596,-2.90958,-0.00367107,0,0,0,0
106,36,0.108,0.0468387,0.16383,-2.90097,-0.00296487,0,0,0,0
107,36,0.108,0.0438003,0.162369,-2.89349,-0.00155239,0,0,0,0
108,36,0.108,0.0413179,0.160987,-2.88779,-0.000263959,0,0,0,0
109,37,0.111,0.0394204,0.159691,-2.87811,0.000848753,0,0,0,0
110,37,0.111,0.0377344,0.158806,-2.86952,0.00241552,0,0,0,0
111,37,0.111,0.0363099,0.157861,-2.86303,0.00379406,0,0,0,0
112,38,0.114,0.0358158,0.158281,-2.85148,0.00725039,0,0,0,0
113,38,0.114,0.0348659,0.158108,-2.84172,0.00924532,0,0,0,0
114,38,0.114,0.0339878,0.157684,-2.83432,0.0108343,0,0,0,0
115,39,0.117,0.0335829,0.157848,-2.82477,0.00961712,0,0,0,0
116,39,0.117,0.033351,0.157655,-2.81626,0.00975514,0,0,0,0
117,39,0.117,0.0329873,0.157244,-2.80972,0.0102729,0,0,0,0
118,40,0.12,0.033575,0.153425,-2.79911,0.00800117,0,0,0,0
119,40,0.12,0.0335628,0.150665,-2.79003,0.00761684,0,0,0,0
